plot,year,season,subsample,Cover_Bareground,species_other,biomass
B1A01D1,2019,May,1,0,Weed,288.2
B1A01D1,2019,May,1,0,Dead,7.37
B1A01D1,2019,May,1,0,Rest,NA
B1A01D1,2019,May,1,0,AloPra,NA
B1A01D1,2019,May,1,0,AntOdo,0.07
B1A01D1,2019,May,1,0,ArrEla,NA
B1A01D1,2019,May,1,0,AvePub,12.66
B1A01D1,2019,May,1,0,BroEre,NA
B1A01D1,2019,May,1,0,BroHor,9.34
B1A01D1,2019,May,1,0,CynCri,NA
B1A01D1,2019,May,1,0,DacGlo,NA
B1A01D1,2019,May,1,0,FesPra,NA
B1A01D1,2019,May,1,0,FesRub,NA
B1A01D1,2019,May,1,0,HolLan,NA
B1A01D1,2019,May,1,0,LuzCam,NA
B1A01D1,2019,May,1,0,PhlPra,NA
B1A01D1,2019,May,1,0,PoaPra,202.3
B1A01D1,2019,May,1,0,PoaTri,NA
B1A01D1,2019,May,1,0,TriFla,NA
B1A01D1,2019,May,1,0,AjuRep,0
B1A01D1,2019,May,1,0,BelPer,NA
B1A01D1,2019,May,1,0,GleHed,NA
B1A01D1,2019,May,1,0,LeoAut,NA
B1A01D1,2019,May,1,0,LeoHis,NA
B1A01D1,2019,May,1,0,PlaLan,0
B1A01D1,2019,May,1,0,PlaMed,NA
B1A01D1,2019,May,1,0,PriVer,NA
B1A01D1,2019,May,1,0,PruVul,NA
B1A01D1,2019,May,1,0,RanRep,7.14
B1A01D1,2019,May,1,0,TarOff,15.59
B1A01D1,2019,May,1,0,VerCha,NA
B1A01D1,2019,May,1,0,AchMil,NA
B1A01D1,2019,May,1,0,AntSyl,0
B1A01D1,2019,May,1,0,CamPat,NA
B1A01D1,2019,May,1,0,CarCar,0
B1A01D1,2019,May,1,0,CarPra,NA
B1A01D1,2019,May,1,0,CenJac,NA
B1A01D1,2019,May,1,0,CirOle,NA
B1A01D1,2019,May,1,0,CreBie,NA
B1A01D1,2019,May,1,0,DauCar,NA
B1A01D1,2019,May,1,0,GalMol,NA
B1A01D1,2019,May,1,0,GerPra,1.6
B1A01D1,2019,May,1,0,HerSph,NA
B1A01D1,2019,May,1,0,KnaArv,NA
B1A01D1,2019,May,1,0,LeuVul,NA
B1A01D1,2019,May,1,0,PasSat,NA
B1A01D1,2019,May,1,0,PimMaj,NA
B1A01D1,2019,May,1,0,RanAcr,NA
B1A01D1,2019,May,1,0,RumAce,NA
B1A01D1,2019,May,1,0,SanOff,NA
B1A01D1,2019,May,1,0,TraPra,0
B1A01D1,2019,May,1,0,LatPra,47.99
B1A01D1,2019,May,1,0,LotCor,0
B1A01D1,2019,May,1,0,MedLup,NA
B1A01D1,2019,May,1,0,MedVar,NA
B1A01D1,2019,May,1,0,OnoVic,NA
B1A01D1,2019,May,1,0,TriCam,0
B1A01D1,2019,May,1,0,TriDub,NA
B1A01D1,2019,May,1,0,TriFra,NA
B1A01D1,2019,May,1,0,TriHyb,NA
B1A01D1,2019,May,1,0,TriPra,NA
B1A01D1,2019,May,1,0,TriRep,NA
B1A01D1,2019,May,1,0,VicCra,0
B1A02D1,2019,May,1,5,Weed,102.4
B1A02D1,2019,May,1,5,Dead,23.04
B1A02D1,2019,May,1,5,Rest,NA
B1A02D1,2019,May,1,5,AloPra,2.04
B1A02D1,2019,May,1,5,AntOdo,NA
B1A02D1,2019,May,1,5,ArrEla,NA
B1A02D1,2019,May,1,5,AvePub,NA
B1A02D1,2019,May,1,5,BroEre,799.7
B1A02D1,2019,May,1,5,BroHor,NA
B1A02D1,2019,May,1,5,CynCri,NA
B1A02D1,2019,May,1,5,DacGlo,NA
B1A02D1,2019,May,1,5,FesPra,NA
B1A02D1,2019,May,1,5,FesRub,7.67
B1A02D1,2019,May,1,5,HolLan,NA
B1A02D1,2019,May,1,5,LuzCam,NA
B1A02D1,2019,May,1,5,PhlPra,0
B1A02D1,2019,May,1,5,PoaPra,NA
B1A02D1,2019,May,1,5,PoaTri,NA
B1A02D1,2019,May,1,5,TriFla,NA
B1A02D1,2019,May,1,5,AjuRep,NA
B1A02D1,2019,May,1,5,BelPer,NA
B1A02D1,2019,May,1,5,GleHed,NA
B1A02D1,2019,May,1,5,LeoAut,NA
B1A02D1,2019,May,1,5,LeoHis,NA
B1A02D1,2019,May,1,5,PlaLan,NA
