Stations_id,Stationsname,Latitude,Longitude,Direction
1,Aach,47.8413,8.8493,South-west
2,Aachen (Kläranlage),50.8066,6.0996,North-west
3,Aachen,50.7827,6.0941,North-west
4,Aachen-Brand,50.7683,6.1207,North-west
6,Aalen-Unterrombach,48.8361,10.0598,South-west
7,Aalen-Unterkochen,48.814,10.1285,South-west
8,Aarbergen-Panrod,50.2546,8.131,South-west
9,Aarbergen-Rückershausen,50.2655,8.0516,South-west
10,"Abbach,Bad-Dünzling",48.8857,12.1079,South-east
12,Abbensen,52.3814,10.186,North-west
13,Abberode,51.6154,11.2892,North-east
14,Abelitzmoor,53.5333,7.5,North-west
15,Abenberg,49.2346,10.9667,South-east
16,Abenberg-Wassermungenau,49.2193,10.8845,South-east
17,Abensberg-Sandharlanden,48.8421,11.8194,South-east
18,Abentheuerhütte,49.65,7.0833,South-west
19,Abtsgmünd-Neubronn,48.8795,9.971,South-west
20,Abtsgmünd-Untergröningen,48.9219,9.9129,South-west
21,Achberg-Doberatsweiler,47.6104,9.6981,South-west
22,Achern-Fautenbach,48.6317,8.0466,South-west
23,Achim-Embsen,53.0311,9.0232,North-west
24,Achthal,47.8333,12.7833,South-east
25,Adelberg,48.7667,9.6,South-west
26,Adelheidsdorf,52.5503,10.0544,North-west
27,"Adelholzen, Bad",47.8167,12.6167,South-east
28,Adelmannsfelden,48.954,10.006,South-west
29,Adelsdorf (Kläranlage),49.7175,10.9101,South-east
30,Adelsheim,49.4064,9.3914,South-west
31,Adendorf,53.2833,10.4333,North-east
32,Adenstedt,52.0,9.9333,North-west
33,Aderstedt,52.0286,10.9994,North-east
34,Adolzfurt,49.1667,9.45,South-west
35,Adorf,50.312,12.2875,South-east
36,Aerzen-Reher,52.0308,9.235,North-west
37,Affing,48.4612,10.9795,South-east
38,Ahaus (Wieselweg),52.09,7.0095,North-west
39,Ahausen,53.0585,9.3092,North-west
40,Ahlbeck,53.6674,14.1823,North-east
41,Ahlden-Grethem,52.7356,9.5665,North-west
42,Ahlen in Westfalen,51.7736,7.8738,North-west
43,Ahlen (Falkenberger Moor),53.7,8.7833,North-west
44,Großenkneten,52.9336,8.237,North-west
45,Ahnatal-Weimar,51.374,9.4042,North-west
46,Aholfing,48.945,12.4639,South-east
47,Ahorn-Eubigheim,49.4997,9.5439,South-west
48,Ahorntal-Kirchahorn,49.8364,11.4025,South-east
50,Ahrendsberg,51.85,10.4667,North-east
51,Ahrensbök,54.0167,10.5667,North-east
52,Ahrensburg-Wulfsdorf,53.6623,10.199,North-west
53,Ahrensfelde,52.585,13.5634,North-east
54,Ahrenshöft,54.5667,9.0667,North-west
55,"Aibling, Bad-Ellmosen",47.8778,12.024,South-east
56,Aichach,48.45,11.1333,South-east
57,Hollenbach/Bayern-Schönbach,48.4799,11.0521,South-east
58,Aichstetten,47.8922,10.0796,South-west
