"station_id","year","season","n_rain","R5mm","R10mm","R20mm","SDII","PRCPTOT","Rx1day","Rx5day","n_maxdy","n_mindy","FD","TR","SU","ID","TNn","TNx","TXn","TXx","DTR","TN10p","TN90p","TX10p","TX90p"
"ATHENRY",2012,"Summer",92,30,10,4,7.205,396.3,32.4,49.8,92,92,0,0,1,0,5.008,16.39,12.66,25.39,6.72,NA,NA,NA,NA
"ATHENRY",2012,"Autumn",91,27,13,1,6.691,354.6,22.5,55.5,91,91,12,0,0,0,-3.475,14.47,3.543,20.11,7.068,NA,NA,NA,NA
"ATHENRY",2013,"Winter",90,23,8,3,6.643,325.5,24.6,64.4,90,90,28,0,0,0,-4.883,10.06,2.57,13.33,6.467,NA,NA,NA,NA
"ATHENRY",2013,"Spring",92,16,6,1,5.62,230.4,27.9,48,92,92,22,0,0,0,-6.326,11.2,2.917,19.45,7.478,NA,NA,NA,NA
"ATHENRY",2013,"Summer",92,15,8,3,7.507,225.2,27.4,66.8,92,92,0,0,7,0,6.354,16.01,14.52,29.23,8.081,NA,NA,NA,NA
"ATHENRY",2013,"Autumn",91,18,7,1,5.842,262.9,22.7,41.5,91,91,6,0,0,0,-3.562,15.56,6.451,22.33,6.838,NA,NA,NA,NA
"ATHENRY",2014,"Winter",90,47,18,4,8.117,576.3,29.1,87.3,90,90,15,0,0,0,-3.184,9.87,4.826,14.96,6.264,NA,NA,NA,NA
"ATHENRY",2014,"Spring",92,18,8,0,5.973,244.9,17.8,43.2,92,92,2,0,0,0,-0.911,11.09,7.2,21.38,7.513,NA,NA,NA,NA
"ATHENRY",2014,"Summer",92,12,6,1,5.288,227.4,31.9,37.5,92,92,0,0,2,0,2.603,16.42,14.85,26.65,7.893,NA,NA,NA,NA
"ATHENRY",2014,"Autumn",91,21,7,3,7.174,279.8,27.1,54.7,91,91,6,0,0,0,-1.885,14.54,7.58,22.63,8.235,NA,NA,NA,NA
"ATHENRY",2015,"Winter",90,34,11,1,6.842,376.3,25,63.8,90,90,28,0,0,0,-5.38,10.42,2.837,13.68,6.969,NA,NA,NA,NA
"ATHENRY",2015,"Spring",92,24,12,2,6.898,338,21.8,55.2,92,92,11,0,0,0,-4.136,10.36,5.928,19.06,8.976,NA,NA,NA,NA
"ATHENRY",2015,"Summer",92,26,6,0,5.894,288.8,18.9,46.2,92,92,0,0,0,0,2.435,15.35,11.61,22.83,7.251,NA,NA,NA,NA
"ATHENRY",2015,"Autumn",91,25,14,2,8.621,370.7,33.5,85.3,91,91,1,0,0,0,-1.101,13.06,7.05,20.23,7.097,NA,NA,NA,NA
