year,month,day,date,p_air,T_air,rh,sh,Tpot,Tdew,VPmax,VPact,VPdef,H2OC,rho,wv,wd,rain1,rain2,Srain1,Srain2,Tpyr,TDR,TUR,SWDR,SWUR,albedo,SDUR,SDIR,LWDR,LWUR,TRAD,PAR,Rn,SHF1,SHF2,SHF3,SHF4,SHF5,SHFM,ST002,ST004,ST008,ST016,ST032,ST064,ST128,SM008,SM016,SM032,SM064,SM128,Tlog,Heating1,Heating2
2003,1,1,2003-01-01,991.8338,-0.6272,87.2672,3.3515,273.1862,-2.5285,6.2209,5.3196,0.9009,5.3755,1265.9209,1.9479,205.2113,1.065,1.2,1.065,1.2,0.7732,317.2204,320.4128,24.3132,19.3774,78.42,1850,10.447,292.9077,301.0351,-3.4085,50.6406,-3.1923,-2.8709,-3.2455,-7.2855,-4.7381,-2.8179,-4.1913,0.5643,0.6123,0.784,1.4715,2.4206,3.6717,5.8909,35.2111,36.3998,42.4681,44.5347,40.34,1.2213,54.1849,43.0262
2003,1,2,2003-01-02,972.6427,9.6046,82.7277,6.3358,285.0177,6.7498,12.0083,9.8688,2.1396,10.1467,1193.7313,2.9008,228.9198,7.015,6.6,8.08,7.8,9.2571,332.0587,346.2283,8.4223,1.3685,17.0467,0,0.3856,323.6369,344.8604,6.0908,19.5775,-14.1704,7.4606,13.8131,20.2737,15.1331,15.6283,14.4615,5.2219,4.8429,4.0227,3.1669,2.7042,3.6729,5.9392,35.9946,37.5415,42.7746,44.8829,40.4087,10.3552,31.6438,0
2003,1,3,2003-01-03,977.2677,8.6873,78.4385,5.6304,283.7098,5.1196,11.2675,8.8156,2.4517,9.0215,1203.8275,5.9739,238.1565,1.59,2.1,9.67,9.9,7.3612,343.2619,344.9577,10.6002,1.1279,NA,0,0.1987,332.6617,343.8306,5.8883,22.9694,-1.6967,4.1317,5.4125,8.5552,6.2331,5.7471,6.0156,5.8773,5.7104,5.3031,4.7952,3.9875,3.9331,5.9681,48.0823,49.1408,43.5115,45.3544,40.6006,9.0312,12.6744,0
2003,1,4,2003-01-04,988.4079,1.396,87.9867,3.7994,274.9648,-0.3927,6.8269,6.0602,0.7667,6.0935,1259.5096,NA,NA,0,0,9.67,9.9,0.2773,314.4562,334.8348,10.4019,1.6021,11.51,0,0.3506,304.0546,333.2331,3.7104,21.6579,-20.3777,1.7315,2.1742,3.6765,2.966,2.5154,2.6121,5.6321,5.5306,5.291,5.0969,4.5944,4.3827,6.0115,50.896,51.7958,44.3427,45.686,40.63,2.1625,66.1569,5.995
2003,1,5,2003-01-05,994.5852,-2.3794,72.6217,2.3235,271.2023,-6.6785,5.134,3.7106,1.4242,3.731,1277.7794,NA,NA,0,0,9.67,9.9,-3.5131,288.2271,324.1821,29.9065,5.4602,20.6333,6810,42.8344,258.3206,318.7223,0.6385,54.5073,-35.9542,-2.5185,-4.4088,-7.1675,-4.9602,-4.5304,-4.7165,4.3079,4.3815,4.4802,4.8146,4.7556,4.7427,6.0819,50.9262,51.8919,44.4492,45.7419,40.5769,-2.1065,0,0
2003,1,6,2003-01-06,994.7017,-1.8069,80.6054,2.6983,271.7665,-4.7096,5.3646,4.3079,1.0567,4.331,1274.9748,1.5477,120.2654,0.285,0.2,9.955,10.1,-2.241,298.6477,315.9727,28.389,4.909,18.5787,7819,34.7806,270.2594,311.0633,-1.0131,50.5725,-17.3244,-4.9742,-8.8042,-13.2192,-8.86,-8.8754,-8.9467,2.4196,2.561,2.9004,3.6573,4.3792,4.9371,6.1762,50.8227,51.7837,44.4373,45.8373,40.5046,0.0771,25.6604,25.6604
2003,1,7,2003-01-07,1002.6696,-7.4575,82.1519,1.8152,265.5013,-9.9733,3.5252,2.9217,0.6029,2.9137,1313.2744,2.6021,51.929,0.025,0.1,9.98,10.2,-8.1465,279.0498,306.7185,30.0727,14.3869,47.7815,1350,6.7227,248.9769,292.3315,-5.2292,56.645,-27.6692,-4.3621,-5.8498,-8.1602,-6.6765,-7.6344,-6.5371,2.4119,2.5121,2.6996,3.2113,3.9279,4.9223,6.2654,50.5181,51.6552,44.5127,45.9369,40.3548,-4.6017,40.116,40.116
2003,1,8,2003-01-08,1003.0106,-10.1981,83.4812,1.4583,262.7362,-12.4594,2.8294,2.3492,0.4798,2.3415,1327.6698,1.3915,62.3058,0,0,9.98,10.2,-11.7012,238.0996,294.0362,32.5154,19.6644,60.4771,4180,14.5267,205.5844,274.3717,-9.4292,61.3281,-55.9371,-6.7235,-9.3173,-13.4417,-10.2115,-10.9471,-10.1285,1.2156,1.4287,1.8223,2.6321,3.6237,4.8433,6.3392,50.2775,51.6167,44.5233,45.985,39.6471,-8.684,31.7252,31.7252
2003,1,9,2003-01-09,1003.8235,-12.231,84.9765,1.2577,260.6444,-14.23,2.3933,2.0288,0.3644,2.0212,1339.2306,1.1102,115.7542,0.035,0,10.015,10.2,-11.3088,248.3733,292.5512,37.4996,24.7452,65.0357,14690,38.6452,210.8727,267.8062,-11.0179,62.9102,-44.1763,-5.9338,-8.7308,-13.6081,-10.5158,-10.2025,-9.7977,0.3012,0.5456,0.9806,1.8825,3.0946,4.6813,6.3808,50.0919,51.6533,44.58,46.07,39.0648,-9.7398,70.8917,70.8917
2003,1,10,2003-01-10,1007.1437,-6.0185,86.7496,2.1235,266.5969,-7.8592,3.9402,3.4354,0.5038,3.41,1311.7583,0.8496,190.9983,0.14,0,10.155,10.2,-5.6483,294.1106,301.7446,18.8108,12.9465,68.7733,0,0,275.2996,288.7975,-6.0273,41.6365,-7.6335,-5.1354,-7.0177,-10.5731,-8.0019,-8.8331,-7.9121,-0.0602,0.1888,0.5904,1.42,2.6556,4.4733,6.3954,49.9281,51.5152,44.6706,46.1329,38.9581,-3.8929,50.8915,50.8915
